Trial #,CS Timestamp,Airpuff
1,2025-05-19 13:17:47.567154,True
1,2025-05-19 13:17:57.332488,True
2,2025-05-19 13:18:11.934828,True
1,2025-05-19 13:21:00.848913,True
2,2025-05-19 13:21:21.417050,True
3,2025-05-19 13:21:48.754990,True
4,2025-05-19 13:22:08.349859,True
5,2025-05-19 13:22:32.110629,True
6,2025-05-19 13:22:40.656577,True
7,2025-05-19 13:22:52.768627,True
8,2025-05-19 13:23:05.983339,True
9,2025-05-19 13:23:18.824379,True
10,2025-05-19 13:23:31.628349,True
11,2025-05-19 13:23:43.826409,True
12,2025-05-19 13:24:01.927753,False
13,2025-05-19 13:24:18.129313,True
14,2025-05-19 13:24:28.808293,True
15,2025-05-19 13:24:45.243720,True
16,2025-05-19 13:25:03.099483,True
17,2025-05-19 13:25:20.728716,True
18,2025-05-19 13:25:32.262778,True
19,2025-05-19 13:25:43.469454,True
20,2025-05-19 13:25:57.345232,True
21,2025-05-19 13:26:09.132023,True
22,2025-05-19 13:26:22.371585,True
23,2025-05-19 13:26:38.077896,True
24,2025-05-19 13:26:46.396822,True
25,2025-05-19 13:27:00.343634,True
26,2025-05-19 13:27:17.256574,True
27,2025-05-19 13:27:36.382871,True
28,2025-05-19 13:27:47.411618,True
29,2025-05-19 13:27:58.478728,True
30,2025-05-19 13:28:14.438990,True
31,2025-05-19 13:28:38.162995,False
32,2025-05-19 13:29:00.781870,True
33,2025-05-19 13:29:22.083124,True
34,2025-05-19 13:29:33.151052,True
35,2025-05-19 13:29:44.052915,True
36,2025-05-19 13:29:59.191797,True
37,2025-05-19 13:30:19.309072,False
38,2025-05-19 13:30:28.814110,True
39,2025-05-19 13:30:43.725883,True
40,2025-05-19 13:30:56.145368,True
41,2025-05-19 13:31:07.606898,True
42,2025-05-19 13:31:16.508179,True
43,2025-05-19 13:31:30.446937,True
44,2025-05-19 13:31:40.683879,True
45,2025-05-19 13:31:49.629932,True
46,2025-05-19 13:32:06.365010,False
47,2025-05-19 13:32:21.980066,True
48,2025-05-19 13:32:30.289593,True
49,2025-05-19 13:32:47.118017,True
50,2025-05-19 13:33:00.853001,True
51,2025-05-19 13:33:13.077200,True
52,2025-05-19 13:33:21.557023,False
53,2025-05-19 13:33:34.296288,True
54,2025-05-19 13:33:42.609610,True
55,2025-05-19 13:33:58.843866,True
56,2025-05-19 13:34:17.983309,True
57,2025-05-19 13:34:38.872506,True
58,2025-05-19 13:34:51.160484,True
59,2025-05-19 13:35:09.475664,True
60,2025-05-19 13:35:27.251654,True
61,2025-05-19 13:35:41.912589,True
62,2025-05-19 13:35:58.667248,True
63,2025-05-19 13:36:21.681114,True
64,2025-05-19 13:36:40.357020,True
65,2025-05-19 13:36:50.988261,True
66,2025-05-19 13:37:02.941873,True
67,2025-05-19 13:37:18.151498,True
68,2025-05-19 13:37:32.478772,True
69,2025-05-19 13:37:45.114996,False
70,2025-05-19 13:37:57.227997,True
71,2025-05-19 13:38:07.189341,True
72,2025-05-19 13:38:21.477696,True
73,2025-05-19 13:38:37.876623,True
74,2025-05-19 13:38:52.050568,True
75,2025-05-19 13:39:04.686312,True
76,2025-05-19 13:39:16.286163,True
77,2025-05-19 13:39:24.723413,True
78,2025-05-19 13:39:38.639686,False
79,2025-05-19 13:39:52.211349,True
80,2025-05-19 13:40:00.757992,True
81,2025-05-19 13:40:14.540700,True
82,2025-05-19 13:40:27.078463,True
83,2025-05-19 13:40:39.987857,True
84,2025-05-19 13:40:52.635466,True
85,2025-05-19 13:41:06.094632,True
86,2025-05-19 13:41:19.996534,True
87,2025-05-19 13:41:31.478980,True
88,2025-05-19 13:41:40.979260,True
89,2025-05-19 13:41:56.098605,False
90,2025-05-19 13:42:13.524679,True
91,2025-05-19 13:42:30.819729,True
92,2025-05-19 13:42:45.070533,True
93,2025-05-19 13:42:58.057341,True
94,2025-05-19 13:43:07.561429,True
95,2025-05-19 13:43:26.880988,True
96,2025-05-19 13:43:39.334750,True
97,2025-05-19 13:43:58.013783,True
98,2025-05-19 13:44:12.473757,True
99,2025-05-19 13:44:30.140655,False
100,2025-05-19 13:44:43.053437,True
101,2025-05-19 13:45:00.363799,True
102,2025-05-19 13:45:10.171763,True
103,2025-05-19 13:45:20.874099,True
104,2025-05-19 13:45:35.393947,True
105,2025-05-19 13:45:57.242725,True
106,2025-05-19 13:46:13.430516,True
107,2025-05-19 13:46:30.841077,True
108,2025-05-19 13:46:42.702212,True
109,2025-05-19 13:46:56.569337,False
110,2025-05-19 13:47:10.834663,True
